CurTime,logDuration,countdownTimer,timesinceMovement,timePresent,personPresent
14:18:49,1:21:1,00:04:16,0.740540713333333,79.8333333333333,1
14:19:49,1:22:1,00:04:59,0.00523385666666667,80.8333333333333,1
14:20:49,1:23:1,00:04:59,0.00181684833333333,81.8166666666667,1
14:21:49,1:24:1,00:04:30,0.501816843333333,82.8,1
14:22:49,1:25:1,00:04:58,0.029352935,83.7833333333333,1
14:23:49,1:26:1,00:05:00,0.00833416666666667,84.7666666666667,1
14:24:49,1:27:1,00:04:54,0.0852918616666667,85.7666666666667,1
14:25:49,1:28:1,00:03:55,1.08244156666667,86.75,1
14:26:49,1:29:1,00:05:00,0.00050005,87.7333333333333,1
14:27:49,1:30:1,00:04:57,0.0377204383333333,88.7166666666667,1
14:28:50,1:31:1,00:04:36,0.390039,89.7,1
14:29:50,1:32:1,00:04:56,0.0611227783333333,90.6833333333333,1
14:30:50,1:33:1,00:03:56,1.07519084166667,91.6833333333333,1
14:31:50,1:34:1,00:04:28,0.527836111666667,92.6666666666667,1
14:32:50,1:35:1,00:03:29,1.525002485,93.65,1
14:33:50,1:36:1,00:04:17,0.717388398333333,94.6333333333333,1
14:34:50,1:37:1,00:04:18,0.693202646666667,95.6166666666667,1
14:35:50,1:38:1,00:03:18,1.70723737333333,96.6166666666667,1
14:36:50,1:39:1,00:02:19,2.70440374666667,97.6,1
14:37:50,1:40:1,00:04:44,0.2610261,98.5833333333333,1
14:38:50,1:41:1,00:04:32,0.466713333333333,99.5666666666667,1
14:39:50,1:42:1,00:04:54,0.09930993,100.55,1
14:40:50,1:43:1,00:04:50,0.152365235,101.55,1
14:41:50,1:44:1,00:04:57,0.0460379366666667,102.533333333333,1
14:42:50,1:45:1,00:04:44,0.253775375,103.516666666667,1
14:43:50,1:46:1,00:04:58,0.0247358066666667,104.5,1
14:44:50,1:47:1,00:04:34,0.437060368333333,105.483333333333,1
14:45:50,1:48:1,00:04:45,0.251708501666667,106.466666666667,1
14:46:50,1:49:1,00:05:00,0.00416708333333333,107.466666666667,1
14:47:50,1:50:1,00:04:58,0.0174184083333333,108.45,1
14:48:50,1:51:1,00:03:59,1.01458478166667,109.433333333333,1
14:49:50,1:52:1,00:04:53,0.102176883333333,110.416666666667,1
14:50:50,1:53:1,00:04:55,0.0748908216666667,111.4,1
14:51:50,1:54:1,00:04:59,0.00728406166666667,112.4,1
14:52:50,1:55:1,00:05:00,0.00288362166666667,113.383333333333,1
14:53:50,1:56:1,00:04:22,0.627679428333333,114.366666666667,1
14:54:50,1:57:1,00:05:00,0.00128346166666667,115.35,1
14:55:50,1:58:1,00:04:36,0.393172646666667,116.333333333333,1
14:56:50,1:59:1,00:04:48,0.198403171666667,117.316666666667,1
14:57:50,2:0:1,00:03:48,1.21243789833333,118.316666666667,1
14:58:50,2:1:1,00:04:34,0.422792275,119.3,1
14:59:50,2:2:1,00:05:00,0.0124679133333333,120.283333333333,1
