CurTime,logDuration,capVoltage,timesinceMovement,timePresent,personPresent
20:07:29,0:0:0,48.64751,0,0,1
20:07:30,0:0:2,1.2,0.0187825516666667,0.0333333333333333,1
20:08:29,0:1:0,1.2,0.964615885,1,1
20:09:27,0:1:59,1.2,0.971923826666667,1.98333333333333,1
20:10:26,0:2:57,1.2,0.961490885,2.95,1
20:11:25,0:3:56,1.2,0.96775716,3.93333333333333,1
20:12:23,0:4:55,1.005279,0.975,4.91666666666667,1
20:13:22,0:5:53,1.2,0.964615885,5.88333333333333,1
20:14:20,0:6:52,1.2,0.971923826666667,6.86666666666667,1
