CurTime,logDuration,capVoltage,timesinceMovement,timePresent,personPresent
18:52:11,0:6:42,0.1560117,6.74145741166667,6.61666666666667,0
18:59:02,0:13:32,0.4727273,13.5693901366667,6.61666666666667,1
19:05:52,0:20:23,0.09970675,6.83338327,13.3166666666667,1
19:12:42,0:27:13,0.06920821,13.6612993266667,13.3166666666667,1
19:19:32,0:34:3,0.05982405,20.50615041,13.3166666666667,1
19:26:22,0:40:53,0.05982405,27.3340998033333,13.3166666666667,1
19:33:13,0:47:43,0.05747801,34.17891755,13.3166666666667,1
19:40:03,0:54:34,0.05747801,41.0068669433333,13.3166666666667,1
19:46:53,1:1:24,0.05747801,47.85168469,13.3166666666667,1
19:53:43,1:8:14,0.05747801,54.6796340833333,13.3166666666667,1
20:00:33,1:15:4,0.05513197,61.5244851666667,13.3166666666667,1
20:07:23,1:21:54,0.05513197,68.3524012233333,13.3166666666667,1
20:14:14,1:28:44,0.05513197,75.1972523066667,13.3166666666667,1
20:21:04,1:35:35,0.05513197,82.0251850316667,13.3166666666667,1
20:27:54,1:42:25,0.05513197,88.8700027783333,13.3166666666667,1
20:34:44,1:49:15,0.05513197,95.6979355033333,13.3166666666667,1
20:41:34,1:56:5,0.05513197,102.525884896667,13.3166666666667,1
20:48:24,2:2:55,0.05513197,109.37073598,13.3166666666667,1
20:55:14,2:9:45,0.05513197,116.198652036667,13.3166666666667,1
21:02:04,2:16:35,0.05513197,123.043486451667,13.3166666666667,1
21:08:54,2:23:25,0.05278593,129.869431478333,13.3166666666667,1
21:15:44,2:30:15,0.05278593,136.71306708,13.3166666666667,1
21:22:34,2:37:5,0.05278593,143.540333746667,13.3166666666667,1
21:29:24,2:43:55,0.05278593,150.368152605,13.3166666666667,1
21:36:15,2:50:45,0.05278593,157.212970351667,13.3166666666667,1
21:43:05,2:57:35,0.05278593,164.040903076667,13.3166666666667,1
21:49:55,3:4:25,0.05278593,170.868835801667,13.3166666666667,1
21:56:45,3:11:16,0.05278593,177.713686885,13.3166666666667,1
22:03:35,3:18:6,0.05043989,184.541636278333,13.3166666666667,1
22:10:25,3:24:56,0.05043989,191.369569003333,13.3166666666667,1
22:17:15,3:31:46,0.05278593,198.21438675,13.3166666666667,1
22:24:05,3:38:36,0.05043989,205.042319475,13.3166666666667,1
22:30:55,3:45:26,0.05043989,211.8702522,13.3166666666667,1
22:37:45,3:52:16,0.05043989,218.715103283333,13.3166666666667,1
22:44:35,3:59:6,0.05043989,225.543036008333,13.3166666666667,1
22:51:25,4:5:55,0.05043989,232.370968733333,13.3166666666667,1
22:58:15,4:12:45,0.05043989,239.215819816667,13.3166666666667,1
23:05:05,4:19:35,0.04809384,246.043735873333,13.3166666666667,1
23:11:54,4:26:25,0.04809384,252.871685266667,13.3166666666667,1
23:18:44,4:33:15,0.04809384,259.699617991667,13.3166666666667,1
23:25:35,4:40:5,0.04809384,266.544469075,13.3166666666667,1
23:32:24,4:46:55,0.04809384,273.372385131667,13.3166666666667,1
23:39:14,4:53:45,0.04809384,280.200334525,13.3166666666667,1
23:46:04,5:0:35,0.04809384,287.045152271667,13.3166666666667,1
23:52:54,5:7:25,0.04809384,293.873101665,13.3166666666667,1
23:59:44,5:14:15,0.04809384,300.701051058333,13.3166666666667,1
00:06:34,5:21:5,0.04574781,-1132.471032885,13.3166666666667,1
00:13:24,5:27:55,0.04574781,-1125.62618180167,13.3166666666667,1
00:20:14,5:34:45,0.04574781,-1118.79824907667,13.3166666666667,1
00:27:04,5:41:35,0.04574781,-1111.97031635167,13.3166666666667,1
00:33:54,5:48:25,0.04574781,-1105.14236695833,13.3166666666667,1
00:40:44,5:55:15,0.04574781,-1098.29754921167,13.3166666666667,1
00:47:34,6:2:5,0.04574781,-1091.46961648667,13.3166666666667,1
00:54:24,6:8:54,0.04574781,-1084.64168376167,13.3166666666667,1
01:01:13,6:15:44,0.04574781,-1077.81375103667,13.3166666666667,1
01:08:03,6:22:34,0.04574781,-1070.98580164333,13.3166666666667,1
01:14:53,6:29:24,0.04574781,-1064.14095056,13.3166666666667,1
01:21:43,6:36:14,0.04574781,-1057.31303450333,13.3166666666667,1
01:28:33,6:43:4,0.04574781,-1050.48510177833,13.3166666666667,1
01:35:23,6:49:54,0.04574781,-1043.65716905333,13.3166666666667,1
01:42:13,6:56:44,0.04574781,-1036.82920299167,13.3166666666667,1
01:49:03,7:3:34,0.04574781,-1029.98436857667,13.3166666666667,1
01:55:53,7:10:23,0.04574781,-1023.15645252,13.3166666666667,1
02:02:43,7:17:13,0.04574781,-1016.328519795,13.3166666666667,1
02:09:32,7:24:3,0.04574781,-1009.50057040167,13.3166666666667,1
02:16:22,7:30:53,0.04574781,-1002.655752655,13.3166666666667,1
02:23:12,7:37:43,0.04574781,-995.827803261667,13.3166666666667,1
02:30:02,7:44:33,0.04574781,-988.999870536667,13.3166666666667,1
02:36:52,7:51:23,0.04574781,-982.171937811667,13.3166666666667,1
02:43:42,7:58:12,0.04574781,-975.343988418333,13.3166666666667,1
02:50:31,8:5:2,0.04574781,-968.516072361667,13.3166666666667,1
02:57:21,8:11:52,0.04574781,-961.6881063,13.3166666666667,1
03:04:11,8:18:42,0.04574781,-954.860190243333,13.3166666666667,1
03:11:01,8:25:32,0.04574781,-948.015355828333,13.3166666666667,1
03:17:50,8:32:21,0.04574781,-941.187406435,13.3166666666667,1
03:24:40,8:39:11,0.04574781,-934.359490378333,13.3166666666667,1
03:31:30,8:46:1,0.04574781,-927.531540985,13.3166666666667,1
03:38:20,8:52:51,0.04574781,-920.70360826,13.3166666666667,1
03:45:10,8:59:41,0.04574781,-913.875675535,13.3166666666667,1
03:52:00,9:6:30,0.04574781,-907.047726141667,13.3166666666667,1
03:58:49,9:13:20,0.04574781,-900.219793416667,13.3166666666667,1
04:05:39,9:20:10,0.04574781,-893.391860691667,13.3166666666667,1
04:12:29,9:27:0,0.04574781,-886.547026276667,13.3166666666667,1
04:19:19,9:33:49,0.04574781,-879.719093551667,13.3166666666667,1
04:26:08,9:40:39,0.04574781,-872.891160826667,13.3166666666667,1
04:32:58,9:47:29,0.04574781,-866.063228101667,13.3166666666667,1
04:39:48,9:54:19,0.04574781,-859.235295376667,13.3166666666667,1
04:46:37,10:1:8,0.04340176,-852.407345983333,13.3166666666667,1
04:53:27,10:7:58,0.04340176,-845.57939659,13.3166666666667,1
05:00:17,10:14:48,0.04340176,-838.751480533333,13.3166666666667,1
05:07:06,10:21:37,0.04340176,-831.926442173333,13.3166666666667,1
05:13:56,10:28:27,0.04340176,-825.10251022,13.3166666666667,1
05:20:45,10:35:16,0.04340176,-818.275821875,13.3166666666667,1
05:27:35,10:42:6,0.04340176,-811.448538541667,13.3166666666667,1
05:34:25,10:48:56,0.04340176,-804.62079973,13.3166666666667,1
05:41:14,10:55:45,0.04340176,-797.792867005,13.3166666666667,1
05:48:04,11:2:35,0.04340176,-790.964917611667,13.3166666666667,1
05:54:54,11:9:25,0.3120235,-784.136984886667,13.3166666666667,1
06:01:43,11:16:14,0.06920821,6.82116538166667,20.05,1
06:08:33,11:23:4,0.04809384,13.6490814383333,20.05,1
06:15:23,11:29:54,0.04574781,20.4770141633333,20.05,1
06:22:13,11:36:44,0.04574781,27.3049635566667,20.05,1
06:29:02,11:43:33,0.04574781,34.1328962816667,20.05,1
06:35:52,11:50:23,0.04340176,40.960845675,20.05,1
06:42:42,11:57:12,0.04340176,47.7887784,20.05,1
06:49:31,12:4:2,0.04340176,54.6166944566667,20.05,1
06:56:21,12:10:52,0.04340176,61.4446271816667,20.05,1
07:03:10,12:17:41,0.04340176,68.2725932433333,20.05,1
07:10:00,12:24:31,0.04340176,75.1005093,20.05,1
07:16:50,12:31:21,0.04340176,81.9284586933333,20.05,1
07:23:39,12:38:10,0.04340176,88.75637475,20.05,1
07:30:29,12:45:0,0.04340176,95.5843241433333,20.05,1
07:37:19,12:51:49,0.04340176,102.412256868333,20.05,1
07:44:08,12:58:39,0.04340176,109.240189593333,20.05,1
07:50:58,13:5:29,0.04340176,116.051220628333,20.05,1
07:57:48,13:12:18,0.04340176,122.879153353333,20.05,1
08:04:37,13:19:8,1.2,129.707086078333,20.05,1
08:11:27,13:25:58,1.2,6.81158109,26.7833333333333,1
08:18:16,13:32:47,0.8645161,6.813631295,33.5166666666667,1
08:25:06,13:39:37,0.1231672,6.81259785833333,40.25,1
08:31:56,13:46:26,1.194135,13.6405305833333,40.25,1
08:40:21,13:54:52,48.64751,8.42127537666667,48.5666666666667,1
08:40:21,13:54:52,0.8739004,8.42127537666667,48.5666666666667,1
08:47:11,14:1:42,1.2,6.82299889833333,55.3,1
08:54:00,14:8:31,0.3870968,6.826132545,62.0333333333333,1
09:00:50,14:15:21,0.08563051,6.81076434166667,68.75,1
09:07:39,14:22:10,0.05513197,13.638713735,68.75,1
09:14:29,14:29:0,0.05043989,20.46664646,68.75,1
09:21:19,14:35:49,1.2,27.294579185,68.75,1
09:28:08,14:42:39,0.3612903,6.81986525166667,75.4833333333333,1
09:34:58,14:49:29,0.08093842,6.82191545666667,82.2166666666667,1
